id_palabra,Palabra,id_cronista,id_texto,cita,pagina
2001,Acapalco,2,T2001,"""(…) y la traducción dice así: anima = 'ánima'; <i>sana</i> = 'de nuestra'; <i>aucanacapa</i> = 'los enemigos'; <i>quinçapi</i> = 'son tres'; <strong>acapalco</strong> = 'esto es engañoso'; <i>llulla</i> <i>pacha</i> = 'mentiroso tiempo'; mundo <i>sutini</i> = 'mundo se llama'; <i>çupayo</i> = 'el <i>çupai</i>'; diablo <i>sutini</i> = 'se llama diablo'; <i>aichasa</i> = 'nuestra carne'; carne <i>sutini</i> = 'se llama carne'.""",152-153
2001,Acapalco,2,T2002,"""Y declárolo así: '<strong>acapalco</strong> <i>llulla</i> <i>pacha</i> mundo <i>sutini</i>'; <i>palco</i> y <i>llulla</i> quieren decir lo mismo que 'mentira' o 'engaño'; y <i>pacha</i> quiere decir 'tiempo', 'cielo', 'tierra'. Estas tres cosas significa esta palabra, <i>pacha</i> de suerte que en la traducción, lo que está escrito, vuelto en castellano, quiere decir: 'este tiempo de engaño y mentira se llama mundo'.""",153
2002,Açua,2,T2003,"""Ofrecen asimismo <strong>açua</strong> - que es su bebida, como en otras partes cerveza-, plumas de <i>parinas</i> y otras cosas; y ofrecen plata y oro, en poca cantidad y muy escondido.""",91
2002,Açua,2,T2004,"""Solían los <i>curacas</i> principales, cuando moría algún principal <i>curaca</i>, hacer que en el aposento del muerto se encerrasen las mancebas que habían sido de aquel que estaba muriendo. A las cuales las cercaban otras mujeres; dándoles a comer <i>coca</i> y a beber <strong>açua</strong>, las hacían morir borrachas y ahogadas desta comida y bebida, diciendo: 'come, come y bebe presto y mucho, que has de ir a servir al <i>malco</i> - que quiere decir 'señor' (...).""",94
2002,Açua,2,T2005,"""Luego se sentaban a comer de fiesta lo que para ellos tenían aparejado, con gran regocijo y contento; habiendo gran cantidad de <strong>açua</strong>, comían bravamente y bebían, porque era fiesta principal.""",104
2002,Açua,2,T2006,"""Entierran asimismo con estos cuerpos todas las comidas secas que ellos usan -y échanles <strong>açua</strong> en la sepultura, que es su bebida-, llamándolos por sus nombres (…).""",116
2002,Açua,2,T2007,"""Por sólo celebrar en él todas sus suciedades de fornicación que querían, comenzábanse a juntar cuando se ponía el sol:  y cada mujer iba con su cántaro de <strong>açua</strong> a una casa pública, que servía de sólo aquello y de hacer en ella otros actos públicos de sus ritos y pecados.""",308
2002,Açua,2,T2008,"""Comen en platos y escudillas de barro tosco, de cualquier barro aparejado a la labor, hechos según hay el barro; en platos de madera. Los <i>curacas</i> salen algo deste tosco uso, que con la pujanza tienen algunos platos de plata y algunas vasijas; empero lo más ordinario es -como comen con todos sus indios- comer a la usanza de todos por que los indios siempre perseveren en su amor y obediencia. No lavan perpetuamente las vasijas en que guardan el <strong>açua</strong>, y en que la hacen.""",324-325
2002,Açua,2,T2009,"""Como el <strong>açua</strong> que beben es cocida y pierde alguna parte de la salsedumbre, así no sienten el mal si no es cuando están enfermos: que desean agua dulce, y entonces ven la fatiga que es no tener qué beber; (….).""",326
2002,Açua,2,T2010,"""Por esta solemnidad hacen gran cantidad de <strong>açua</strong> -en que gastan mucho <i>maíz</i>, que vale dinero-, y toda la consumen con esta ocasión; que, bien contemplado, en lo que todos gastan consumen más que pagande esa. De lo cual es causa el huésped: que, si no viniese, no harían aquel gasto cuando el huésped se le antoja mandar juntar de noche a los <i>taquines</i> o bailes y fiestas, que he contado en otras partes hacen de noche; (...).""",334
2003,Aichasa,2,T2011,"""(…) y la traducción dice así: anima = 'ánima'; <i>sana</i> = 'de nuestra'; <i>aucanacapa</i> = 'los enemigos'; <i>quinçapi</i> = 'son tres'; <i>acapalco</i> = 'esto es engañoso'; <i>llulla</i> <i>pacha</i> = 'mentiroso tiempo'; mundo <i>sutini</i> = 'mundo se llama'; <i>çupayo</i> = 'el <i>çupai</i>'; diablo <i>sutini</i> = 'se llama diablo'; <strong>aichasa</strong> = 'nuestra carne'; carne <i>sutini</i> = 'se llama carne'.""",152-153
2004,Aillo / Aillos,2,T2012,"""Repártenla por los <i>principales</i> por que ellos a sus <strong>aillos</strong> la repartan, y cóbrase con brevedad.""",20
2004,Aillo / Aillos,2,T2013,"""Yo vi una carta ejecutoria dada para que se pasase un <strong>aillo</strong> del pueblo llamado <i>Chuquicota</i> a <i>Turco</i>, y luego otra para que no se pasase, y luego otro recado para que se pasase; que con sólo un decreto, en la petición inserto, remitido al corregidor bastaba para pasar todo el pueblo, cuanto más un <strong>aillo</strong>.""",66
2004,Aillo / Aillos,2,T2014,"""(…) en cerros altos de señalada vista tenpian asimismo uacas de veneración por sus <i>provincias</i>, y en particular cada pueblo y cada <strong>aillo</strong>, como digamos «cognaciones» o «<i>parcialidades</i>». Tenían sus uacas todas colocadas en cerrros, las cuales traían consigo y las llevaban cuando todo el pueblo se mudaba de una parte a otra buscando tierras donde vivir (...)"".",75
2004,Aillo / Aillos,2,T2015,"""Y con esto juntamente entierran todas las cosas de que el difunto usaba cuando vivía: como es las <i>ojotas</i> -que es su calzado-, una <i>uayaca</i> -a veces con <i>coca</i>, a veces sin ella-, la cobertura de su cabeza -con sus plumajes de oro o plata o azófar o plumas-, una manilla que usan traer en el brazo derecho, los instrumentos con que solía jugar, un <strong>aillo</strong>, que es una manera de arma que usan contra el enemigo y contra la caza y es tan fuerte que, tirándole a cierta distancia, atan un animal de suerte que luego cae y no se puede huir; lo mismo hace en un hombre y aun lo derribará muerto.""",115
2004,Aillo / Aillos,2,T2016,"""Y desta edad se confesaban con sus confesores, los cuales eran los <i>principales</i> de sus <strong>aillos</strong>: de aquella edad los engañaban y engañan, acostumbrándolos a todos sus pecados.""",222
2004,Aillo / Aillos,2,T2017,"""afirmo esto con tantas veces porque, siendo este caso fresco, entré an aquella doctrina y hallé -queriéndolo aberiguar para mí- que la criatura era del linaje del <i>cacique</i> de aquel <strong>aillo</strong>, y que toda la parentela se había hallado en la solemnidad.""",330-331
