id_palabra,Palabra,id_cronista,id_texto,cita,pagina
3001,[tukuyrikuq],3,T3001,"""Este [tukuyrikuq] gobernaba cuarenta leguas de tierra…""",178
3002,Acos,3,T3002,"""Este [tukuyrikuq] gobernaba cuarenta leguas de tierra, desde Uramarca, que es de aquel cabo de Vilcas, seis leguas, hasta Acos, questá junto al valle de Xauxa.""",178
3003,ají,3,T3003,"""Tienen chácaras de coca, de algodón y de ají…""",177
3004,Andaguailas,3,T3004,"""… en el  tambo de Andaguailas.""",176
3005,Andes,3,T3005,"""Los indios que viven a la mano izquierda dél [camino real], ques hacia los Andes…""",177
3006,cacicazgos,3,T3006,"""La manera de la subcesión de los cacicazgos""",178
3006,cacicazgos,3,T3007,"""… y si salían hombres de bien, de cuidado, dábanles el cacicazgo de su padre…""",178
3007,cacique,3,T3008,"""… y ningún cacique ni indio particular las tenía [chácaras de coca]…""",177
3007,cacique,3,T3009,"""… y sobre cada diez mill indios puso un cacique principal: a este llamaban uno [hunu], que quiere decir diez mill…""",177
3007,cacique,3,T3010,"""No se habla que en aquel tiempo ningún cacique llevase tributo ni salario del pueblo por razón de serlo…"" ",178
3007,cacique,3,T3011,"""De tres a tres años, enviaba el Inga sus visitadores a cada provincia a tomar cuenta a cada cacique de los indios que le eran encargados…""",178
3007,cacique,3,T3012,"""… y ponía [el michuq] por quipo, que era su escritura dellos, en unos cordeles, haciendo unos nudos, todo lo que dejaba, en presencia del cacique de aquel pueblo…""",179
3007,cacique,3,T3013,"""… enviaba el gobernador a informarse de su cacique…""",179
3008,caciques,3,T3014,"""… y en ellas [las cortes] se hallaron todos los caciques y señores principales de todo lo conquistado…""",177
3008,caciques,3,T3015,"""… y de lo demás dio a todos los caciques del reino…""",177
3008,caciques,3,T3016,"""Ninguno destos caciques podía matar, aunque les era permitido castigar…""",177
3008,caciques,3,T3017,"""… porque estos caciques, que estos indios llaman curacas…""",177-178
3008,caciques,3,T3018,"""La principal causa porque los caciques de todo el reino han venido a tiranizar los naturales…""",178
3008,caciques,3,T3019,"""El Inga pagaba los tales caciques ansi como el rey paga a sus corregidores…""",178
3008,caciques,3,T3020,"""… y de allí primeramente daba mujeres a los caciques y principales que no las tenían o tenían nescesidad de más…""",178
3008,caciques,3,T3021,"""… y solamente a los caciques principales de mill [o] de diez mill indios les era concedido tener más mujeres que una…""",178
3008,caciques,3,T3022,"""Todos los hijosde los caciques y señores principales, en seyendo de edad de catorce o quince años, iban a servir al Inga…""",178
3008,caciques,3,T3023,"""Todos los caciques y señores principales en vida hacían herederos al hijo que salía más a su voluntad…""",179
3008,caciques,3,T3024,"""Desta comida tenían licencia los caciques de dar a los pobres del pueblo lo que habían menester en tiempo de necesidad…""",179
3008,caciques,3,T3025,"""… subcedieron los caciques en todas las cosas susodichas que solían dar al Inga…"" ",180
3008,caciques,3,T3026,"""… habiendo fecho llamamiento general de todos los caciques y principales desta dicha provincia…""",180
3009,camino real,3,T3027,"""El  camino real que llaman de Guainacaba, que es partiendo de Quito por la sierra para ir al Cuzco y Charcas…""",177
3009,camino real,3,T3028,"""Los que viven hacia la mano derecha, entre el camino real y la cordillera que está sobre Los Llanos…""",177
3010,caminos reales,3,T3029,"""… y lo que dellas cogían lo encerraban en sus depósitos y a su tiempo lo llevaban a poner en los tambos de los caminos reales…""",179
3011,capitanes,3,T3030,"""Por do quiera que pasaba el Inga o sus capitanes, les daban todo el servicio…""",179
3012,chácaras,3,T3031,"""… porque el tucuyrico proveía lo que quería, como es de mojones de término, de lindes de chácaras…""",178
3012,chácaras,3,T3032,"""Tienen chácaras de coca, de algodón y de ají…""",177
3012,chácaras,3,T3033,"""Las chácaras de coca que ahora tienen los indios eran todas del Inga…""",177
3012,chácaras,3,T3034,"""Las chácaras de coca desta provincia…""",177
3012,chácaras,3,T3035,"""… no eran para más [los curacas] de tener cuenta con los indios que los daban a cargo e mandar hacer las chácarasdel Inga y juntar los tributos…""",178
3012,chácaras,3,T3036,"""...en todos los pueblos le hacían chácaras conforme a la calidad del pueblo y cantidad de indios…"" ",179
3012,chácaras,3,T3037,"""Estas chácaras en que sembraban para el Inga, son la que agora los indios y los españoles llaman del Inga…""",179
3012,chácaras,3,T3038,"""Todas las chácaras de coca de todo el reino eran suyas [del Inga]…""",179
3012,chácaras,3,T3039,"""… y en los mismos valles tenían chácaras de ají e de algodón, las cuales beneficiaban los indios de la tal provincia…""",179
3012,chácaras,3,T3040,"""… no se halla que llevase a los indios tributo de lo que cojían en sus chácaras ni del esquilmo de sus ganados.""",180
3013,charque,3,T3041,"""… y hacen cecina, que llaman charque…""",177
3014,chicha,3,T3042,"""… olleros, que hacen vasijas para hacer chicha…""",176
3015,coca,3,T3043,"""Todas las chácaras de coca de todo el reino eran suyas [del Inga]…""",179
3015,coca,3,T3044,"""Tienen chácaras de coca, de algodón y de ají…""",177
3015,coca,3,T3045,"""Las chácaras de coca que ahora tienen los indios eran todas del Inga…""",177
3015,coca,3,T3046,"""… van de los pueblos las personas que son menester, conforme a la cantidad de la coca…""",177
3016,coca ,3,T3047,"""Las chácaras de coca desta provincia…""",177
3017,cuenta,3,T3048,"""… a tomar cuenta a cada cacique de los indios que le eran encargados, y de los depósitos y tributos del Inga, y ver qué cuenta y razón había en todo…""",178
3018,curacas,3,T3049,"""… porque estos caciques, que estos indios llaman curacas que quiere decir mayores…""",177-178
3019,Cuzco,3,T3050,"""… sirven los indios en términos del Cuzco…""",176
3019,Cuzco,3,T3051,"""El  camino real que llaman de Guainacaba, que es partiendo de Quito por la sierra para ir al Cuzco y Charcas…""",177
3019,Cuzco,3,T3052,"""Después que el primer Inga acabó de conquistar, hizo cortes en el Cuzco…""",177
3019,Cuzco,3,T3053,"""… en Vilcas, que es un tambo real a once leguas desta ciudad, yendo hacia el Cuzco…""",178
3020,dar cuenta,3,T3054,"""… y eran obligados cada uno [de los curaca] a dar cuenta, cuando se la pedían, de los indios que habían muerto y nacido en cada un año.""",178
3021,gobernador,3,T3055,"""Sobre cada provincia había un gobernador…""",178
3021,gobernador,3,T3056,"""… y hacíalo saber al gobernador y él disponía dello como le parescía.""",179
3021,gobernador,3,T3057,"""Ninguno era osado de mentir sobre esto ni sobre otra cosa, como le fuese preguntado por el gobernador, so pena de muerte.""",179
3021,gobernador,3,T3058,"""Cualquier delito que acontecía, en habiendo noticia dél, [el] gobernador o el teniente, hacían parecer ante sí al delincuente…""",179
3021,gobernador,3,T3059,"""… enviaba el gobernador a informarse de su cacique…""",179
3022,gobernador ,3,T3060,"""… y cuando se ofrecía cosa de más calidad, daba aviso dello al gobernador y enviábale la información de palabra de lo que pasaba…""",178
3023,guacas,3,T3061,Y dello [de todo el ganado] dio cierta parte para el sol y otra para ciertas guacas y mamaconas…,177
3024,Guainacaba,3,T3062,"""El  camino real que llaman de Guainacaba, que es partiendo de Quito por la sierra para ir al Cuzco y Charcas…""",177
3025,Guamanga,3,T3063,"""Relación general de la disposición y calidad de la provincia de Guamanga, llamada San Joan de la Frontera…""",176
3025,Guamanga,3,T3064,"""… en la dicha ciudad de Guamanga…""",180
3026,Inga,3,T3065,"""Gobernación del Inga""",177
3026,Inga,3,T3066,"""Después que el primer Inga acabó de conquistar, hizo cortes en el Cuzco…""",177
3026,Inga,3,T3067,"""… y plateros, que en tiempo del Inga hacían de oro y plata las vasijas dichas…""",177
3026,Inga,3,T3068,"""… y los que en tiempo del Inga guardaban ganados…""",177
3026,Inga,3,T3069,"""Las chácaras de coca que ahora tienen los indios eran todas del Inga…""",177
3026,Inga,3,T3070,"""En cada valle hay indios que la benefician [la coca] desde el tiempo del Inga.""",177
