"id_palabra","Palabra","id_cronista","id_texto","cita","pagina"
101001,"[A]pos",2,"T010001","""E yo me acuerdo, estando en el <italic>Cuzco</italic> el aﾖo pasado de mill y quinientos y ﾍinquenta por el mes de agosto, despuEs de aver cojido sus sementeras, entrar los yndios con sus mugeres por la ﾍibdad con gran ruydo, trayendo los arados en las manos y algunas <italic>papas</italic> y <italic>mayz</italic> y hazer su fiesta en solamente cantar y dezir quanto en lo pasado solian festejar sus cosechas. Porque no consienten los o las <strong>[a]pos</strong> y ﾍaﾍerdotes questas fiestas jentilicas se hagan en publico, como solian, ni en secreto los consinterian, si lo supiesen; pero como aya tantos millares de yndios sin se aver buelto cristianos, de creer es que, en donde no los bean, haran lo que se les antojare.""",93
101002,"Abancay",2,"T010002","""Estando las cosas del Cuzco desta manera, los <italic>chancas</italic> -como atras conte- avian ven�ido a los <italic>quichuas</italic> y ocupado la mayor parte de la <italic>provin�ia</italic> de <italic>Andavaylas</italic> ; y como estuviesen vitoriosos, oyendo lo que se dezia de la grandeza del <italic>Cuzco</italic> e su riqueza e la magestad de los <italic>Yngas</italic> , desearon de no estarse encojidos ni dexar de pasar adelante, ganando con las armas todo lo a ellos posible. Y luego hizieron grandes plegarias a sus dioses o demonios y dexando en <italic>Andavaylas</italic> , ques la que los espa�oles llaman <italic>Andaguaylas</italic> , questa encomendada a Diego Maldonado el rico, jente bastante para la defensa della, y con la que estava junta para la guerra, salio <italic>Hastu Guaraca</italic> y un hermano suyo muy vatiente, llamado <italic>Oma Guaraca</italic> , y partieron de su <italic>provin�ia</italic> con muy gran sobervia camino del <italic>Cuzco</italic> , y anduvieron hasta llegar a <italic>Curanba</italic> , donde asentaron su real y hizieron gran da�o en los naturales de la comarca. Mas como en aquellos tienpos muchos de los pueblos estuviesen en los altos y <italic>collados</italic> de las sierras, con grandes sercas, que llaman <italic>�pucaraes�</italic> , no se podia hazer muchas muertes ni querian cativos ni mas que robar los canpos. Y salieron de <italic>Curanba</italic> y fueron al aposento de <italic>Cochacaxa</italic> y al rio de <strong>Abancay</strong> destruyendo todo lo que hallavan; y asi se a�ercaron al <italic>Cuzco</italic> , adonde ya avia ydo la nueva de los enemigos que venian contra la �ibdad...""",130
101003,"Aﾍﾇngaro",2,"T010003","""[Y como se hobiesen holgado los] dias que le pareﾍio a <italic>Ynga Yupangue</italic> , les hablo; como queria que fuesen a los <italic>Guancas</italic> y a los <italic>Yayos</italic> e sus vezinos a procurar de los traer en su amistad y serviﾍio sin guerra, y quando no, que dandosela, se diesen malla de los venﾍer y forﾍar que lo hiziesen. Respondieron todos que harian lo que mandava con gran boluntad. Fueron seﾖalados capitanes de cada naﾍion y sobre todos fuepor general <italic>Lloque Yupangue</italic> y con el, para consejo, <italic>Copa Yupangue</italic> ; y avisandoles de lo que avian de hazer, salieron del <italic>Cuzco</italic> y caminaron hasta la <italic>provinﾍia</italic> de <italic>Andaguailas</italic> , adonde fueron bien reﾍibidos por los <italic>chancas</italic> ; y salio con ellos un capitan, llamado <italic>Anco Allo</italic> , con copia de jente de aquella tierra para servir en la guerra del <italic>Ynga</italic>.

De <italic>Andaguaylas</italic> fueron a <italic>Vilcas</italic> , adonde se estavan los aposentos y tenplo del Sol que<italic> Ynga Yupangue</italic> avia mandado hazer, y hablaron con todo amor a los que entendian en aquellas hobras. De <italic>Vilcas</italic> fueron por los pueblos de <italic>Guamanga</italic> , <strong>Aﾍﾇngaro</strong> , <italic>Parcos</italic> , <italic>Picoy</italic> , <italic>Acos</italic> y otros, los quales ya avian dado la obedenﾍia al <italic>Ynga</italic> y proveian de bastimentos y de lo que mas tenian en sus pueblos y hazian el camino real que les hera mandado grande y muy ancho"".",143
101003,"Aﾍﾇngaro",2,"T010004","""<italic>Ynga Yupangue</italic> tuvo gran notiﾍia que pasadas algunas jornadas, a la parte de Levante avia gran tierra y muy poblada. Con esta nueva, codiﾍioso de descubrirla, paso adelante; mas siendo avisado como en el <italic>Cuzco</italic> avia ﾍusedido ﾍierto alvoroto, aviendo ya allegado a un pueblo que llaman <italic>Marcapata</italic>, rebolvio con prieﾍa grande al <italic>Cuzco</italic>, donde estuvo algunos dias.

Pasado esto, dizen los yndios que, como la <italic>provinﾍia</italic> de <italic>Collao</italic> sea tan grande y en ella oviese en aquellos tienpos numero grande de jente y seﾖores de los naturales muy poderoso, como supieron que <italic>Ynga Yupangue</italic> avia entrado en la montaﾖa de los <italic>Andes</italic>,creyendo que por alli seria muerto o que bendria desvaratado, conﾍertaronse todos a una desde <italic>Vilcanota</italic> para adelante, a una parte, y a otra, con muy gran secreto, de se revelar y no estar debaxo del seﾖorio de los <italic>Yngas</italic>, diziendo que hera poquedad grande de todos ellos, aviendo sido libres sus padres y no dexandolos en cativerio, sujetarse tantas tierras y tan grandes a un seﾖor solo. Y como todos aborreﾍiesen el mando que sobre ellos el <italic>Ynga</italic> tenia, sin les aver el hecho molestia ni mal tratamiento ni hecho tiranias ni demasias, como sus governadores y delegados no lo pudieron entender, juntos en <italic>Hatuncollao</italic> y en <italic>Chuquito</italic>, adonde se hallaron <italic>Cari</italic> y <italic>ﾂapana</italic> y <italic>Umalla</italic> y el seﾖor de <strong>Aﾍﾇngaro</strong> y otros muchos, hizieron su juramento conforme a su ﾍeguedad de llevar adelante su yntenﾍion y determinaﾍion;...""",155
101004,"Achi Oclo",2,"T010005","""La una de sus mugeres fue estﾎril, que nunca se empreﾖﾗ; en la otra ovo tres hijos varones y una hija: el mayor fue nonbrado <italic>ﾂincheRoca Ynga</italic> y la hija <strong>Achi Oclo</strong> ;""",22
101005,"Acos",2,"T010006","""[Y como se hobiesen holgado los] dias que le pareﾍio a <italic>Ynga Yupangue</italic>, / les hablo; como queria que fuesen a los <italic>Guancas</italic> y a los <italic>Yayos</italic> e sus vezinos a procurar de los traer en su amistad y serviﾍio sin guerra, y quando no, que dandosela, se diesen malla de los venﾍer y forﾍar que lo hiziesen. Respondieron todos que harian lo que mandava con gran boluntad. Fueron seﾖalados capitanes de cada naﾍion y sobre todos fue por general <italic>Lloque Yupangue</italic> y con el, para consejo, <italic>Copa Yupangue</italic>; y avisandoles de lo que avian de hazer, salieron del <italic>Cuzco</italic> y caminaron hasta la <italic>provinﾍia</italic> de <italic>Andaguailas</italic>, adonde fueron bien reﾍibidos por los <italic>chancas</italic>; y salio con ellos un capitan, llamado <italic>Anco Allo</italic>, con copia de jente de aquella tierra para servir en la guerra del <italic>Ynga</italic>.

De <italic>Andaguaylas</italic> fueron a <italic>Vilcas</italic>, adonde se estavan los aposentos y tenplo del Sol que <italic>Ynga Yupangue</italic> avia mandado hazer, y hablaron con todo amor a los que entendian en aquellas hobras. De <italic>Vilcas</italic> fueron por los pueblos de <italic>Guamanga</italic>, <italic>Aﾍangaro</italic>, <italic>Parcos</italic>, <italic>Picoy</italic>, <strong>Acos</strong> y otros, los quales ya avian dado la obedenﾍia al <italic>Ynga</italic> y proveian de bastimentos y de lo que mas tenian en sus pueblos y hazian el camino real que les hera mandado grande y muy ancho.""",143
101006,"Aﾍua",2,"T010007","""Llegados los enbaxadores de los <italic>canas</italic>, fueron bien reﾍibidos por <italic>Ynga Viracoche</italic> y les respondio que fuesen los prenﾍipales y mas viejos de los canas a <italic>Ayavire</italic>, adonde se verian,y que como oviese estado algunos dias en el tenplo de <italic>Vilcanota</italic> se daria prieﾍa a verse con ellos. Y dio a los mensajeros algunas joyas y ropa de lana fina y mando a su jente de guerra que no fuesen osados de entrar en las casas de los <italic>canas</italic> ni robar nada de lo que tuviesen ni hazelles daﾖo ninguno porque el buen coraﾍon que tenian no se les turvase y tomasen otro pensamiento. 

Los <italic>canas</italic>, oyda la respuesta, mandaron poner mucho mantenimiento por los caminos y abaxavan de los pueblos a servir al <italic>Ynga</italic>, que con mucha justiﾍia entendio en que no fuesen agraviados en cosa alguna: y eran proveydos de ganado y de <strong>aﾍua</strong>, ques su vino. Y como ovo llegado al vano tenplo, hizieron sacrifiﾍios conforne a su jentilidad, matando muchos corderos para el sacrefiﾍio. De alli caninaron para <italic>Ayavire</italic>, donde los <italic>canas</italic> estavan con mucho proveymiento de bastimento.""",125
101007,"Aji",2,"T010008","""Y para selebrar esta fiesta con mayor deboﾍion y solenidad se dize que ayunavan dies o doze dias austeniondose de comer demasiado y de no dormir con sus mugeres y bever solamente por la maﾖana, ques quando ellos comen, <italic>chicha</italic> y despues, en el dia, tan solamente agua; y no comer <strong>aji</strong> ni traer <italic>coca</italic> en la boca y otras ﾍeremonias que entre ellos se guardavan en semejantes ayunos. Lo qual pasado, avian traydo al <italic>Cuzco</italic> mucha suma de corderos y de obejas y de palomas y <italic>cuyz</italic> y otras aves y animales, los quales matavan para hazer el sacrificio"".",90
101008,"Alaya",2,"T010009","""Esto hecho, salio de aquel lugar con su jente el rey y no paro hasta el valle de <italic>Xauxa</italic>, adonde avia alguna controverﾍia y division sobre los limites y canpos del valle entre los mismos que del hera seﾖor. Como <italic>Guaynacapa</italic> lo entendio, despues de aver hecho sacrifiﾍios como en <italic>Bilcas</italic>, mando juntar los seﾖores <strong>Alaya</strong> , <italic>Cuﾍichuca</italic>, <italic>Guacoropora</italic> y entre ellos con yquidad repartio los canpos de la manera que oy /dia lo tienen.""",187
101009,"Alcabicca",1,"T010010","""En que trata como <italic>Ayarmango</italic> se desindio de los altos de <italic>Guanacaure</italic> a vivir a otra quebrada donde despues de cierto tiempo de alli se paso a vivir a la ciudad del <italic>Cuzco</italic> en compaﾖia de <strong>Alcabicca</strong> dejando en el cerro de <italic>Guanacaure</italic> a su compaﾖero <italic>Ayaroche</italic> hecho idolo como por la historia mas largo lo contara""",19
