"id_palabra","Palabra","id_cronista","id_texto","cita","pagina"
101001,"[A]pos",10,"T010001","""E yo me acuerdo, estando en el <italic>Cuzco</italic> el año pasado de mill y quinientos y çinquenta por el mes de agosto, despuEs de aver cojido sus sementeras, entrar los yndios con sus mugeres por la çibdad con gran ruydo, trayendo los arados en las manos y algunas <italic>papas</italic> y <italic>mayz</italic> y hazer su fiesta en solamente cantar y dezir quanto en lo pasado solian festejar sus cosechas. Porque no consienten los o las <strong>[a]pos</strong> y çaçerdotes questas fiestas jentilicas se hagan en publico, como solian, ni en secreto los consinterian, si lo supiesen; pero como aya tantos millares de yndios sin se aver buelto cristianos, de creer es que, en donde no los bean, haran lo que se les antojare.""",93
101002,"Abancay",10,"T010002","""Estando las cosas del Cuzco desta manera, los <italic>chancas</italic> -como atras conte- avian vençido a los <italic>quichuas</italic> y ocupado la mayor parte de la <italic>provinçia</italic> de <italic>Andavaylas</italic> ; y como estuviesen vitoriosos, oyendo lo que se dezia de la grandeza del <italic>Cuzco</italic> e su riqueza e la magestad de los <italic>Yngas</italic> , desearon de no estarse encojidos ni dexar de pasar adelante, ganando con las armas todo lo a ellos posible. Y luego hizieron grandes plegarias a sus dioses o demonios y dexando en <italic>Andavaylas</italic> , ques la que los españoles llaman <italic>Andaguaylas</italic> , questa encomendada a Diego Maldonado el rico, jente bastante para la defensa della, y con la que estava junta para la guerra, salio <italic>Hastu Guaraca</italic> y un hermano suyo muy vatiente, llamado <italic>Oma Guaraca</italic> , y partieron de su <italic>provinçia</italic> con muy gran sobervia camino del <italic>Cuzco</italic> , y anduvieron hasta llegar a <italic>Curanba</italic> , donde asentaron su real y hizieron gran daño en los naturales de la comarca. Mas como en aquellos tienpos muchos de los pueblos estuviesen en los altos y <italic>collados</italic> de las sierras, con grandes sercas, que llaman <italic>‘pucaraes’</italic> , no se podia hazer muchas muertes ni querian cativos ni mas que robar los canpos. Y salieron de <italic>Curanba</italic> y fueron al aposento de <italic>Cochacaxa</italic> y al rio de <strong>Abancay</strong> destruyendo todo lo que hallavan; y asi se açercaron al <italic>Cuzco</italic> , adonde ya avia ydo la nueva de los enemigos que venian contra la çibdad...""",130
101003,"Açángaro",10,"T010003","""[Y como se hobiesen holgado los] dias que le pareçio a <italic>Ynga Yupangue</italic> , les hablo; como queria que fuesen a los <italic>Guancas</italic> y a los <italic>Yayos</italic> e sus vezinos a procurar de los traer en su amistad y serviçio sin guerra, y quando no, que dandosela, se diesen malla de los vençer y forçar que lo hiziesen. Respondieron todos que harian lo que mandava con gran boluntad. Fueron señalados capitanes de cada naçion y sobre todos fuepor general <italic>Lloque Yupangue</italic> y con el, para consejo, <italic>Copa Yupangue</italic> ; y avisandoles de lo que avian de hazer, salieron del <italic>Cuzco</italic> y caminaron hasta la <italic>provinçia</italic> de <italic>Andaguailas</italic> , adonde fueron bien reçibidos por los <italic>chancas</italic> ; y salio con ellos un capitan, llamado <italic>Anco Allo</italic> , con copia de jente de aquella tierra para servir en la guerra del <italic>Ynga</italic>.

De <italic>Andaguaylas</italic> fueron a <italic>Vilcas</italic> , adonde se estavan los aposentos y tenplo del Sol que<italic> Ynga Yupangue</italic> avia mandado hazer, y hablaron con todo amor a los que entendian en aquellas hobras. De <italic>Vilcas</italic> fueron por los pueblos de <italic>Guamanga</italic> , <strong>Açángaro</strong> , <italic>Parcos</italic> , <italic>Picoy</italic> , <italic>Acos</italic> y otros, los quales ya avian dado la obedençia al <italic>Ynga</italic> y proveian de bastimentos y de lo que mas tenian en sus pueblos y hazian el camino real que les hera mandado grande y muy ancho"".",143
101003,"Açángaro",10,"T010004","""<italic>Ynga Yupangue</italic> tuvo gran notiçia que pasadas algunas jornadas, a la parte de Levante avia gran tierra y muy poblada. Con esta nueva, codiçioso de descubrirla, paso adelante; mas siendo avisado como en el <italic>Cuzco</italic> avia çusedido çierto alvoroto, aviendo ya allegado a un pueblo que llaman <italic>Marcapata</italic>, rebolvio con prieça grande al <italic>Cuzco</italic>, donde estuvo algunos dias.

Pasado esto, dizen los yndios que, como la <italic>provinçia</italic> de <italic>Collao</italic> sea tan grande y en ella oviese en aquellos tienpos numero grande de jente y señores de los naturales muy poderoso, como supieron que <italic>Ynga Yupangue</italic> avia entrado en la montaña de los <italic>Andes</italic>,creyendo que por alli seria muerto o que bendria desvaratado, conçertaronse todos a una desde <italic>Vilcanota</italic> para adelante, a una parte, y a otra, con muy gran secreto, de se revelar y no estar debaxo del señorio de los <italic>Yngas</italic>, diziendo que hera poquedad grande de todos ellos, aviendo sido libres sus padres y no dexandolos en cativerio, sujetarse tantas tierras y tan grandes a un señor solo. Y como todos aborreçiesen el mando que sobre ellos el <italic>Ynga</italic> tenia, sin les aver el hecho molestia ni mal tratamiento ni hecho tiranias ni demasias, como sus governadores y delegados no lo pudieron entender, juntos en <italic>Hatuncollao</italic> y en <italic>Chuquito</italic>, adonde se hallaron <italic>Cari</italic> y <italic>Çapana</italic> y <italic>Umalla</italic> y el señor de <strong>Açángaro</strong> y otros muchos, hizieron su juramento conforme a su çeguedad de llevar adelante su yntençion y determinaçion;...""",155
101004,"Achi Oclo",10,"T010005","""La una de sus mugeres fue estéril, que nunca se empreñó; en la otra ovo tres hijos varones y una hija: el mayor fue nonbrado <italic>ÇincheRoca Ynga</italic> y la hija <strong>Achi Oclo</strong> ;""",22
101005,"Acos",10,"T010006","""[Y como se hobiesen holgado los] dias que le pareçio a <italic>Ynga Yupangue</italic>, / les hablo; como queria que fuesen a los <italic>Guancas</italic> y a los <italic>Yayos</italic> e sus vezinos a procurar de los traer en su amistad y serviçio sin guerra, y quando no, que dandosela, se diesen malla de los vençer y forçar que lo hiziesen. Respondieron todos que harian lo que mandava con gran boluntad. Fueron señalados capitanes de cada naçion y sobre todos fue por general <italic>Lloque Yupangue</italic> y con el, para consejo, <italic>Copa Yupangue</italic>; y avisandoles de lo que avian de hazer, salieron del <italic>Cuzco</italic> y caminaron hasta la <italic>provinçia</italic> de <italic>Andaguailas</italic>, adonde fueron bien reçibidos por los <italic>chancas</italic>; y salio con ellos un capitan, llamado <italic>Anco Allo</italic>, con copia de jente de aquella tierra para servir en la guerra del <italic>Ynga</italic>.

De <italic>Andaguaylas</italic> fueron a <italic>Vilcas</italic>, adonde se estavan los aposentos y tenplo del Sol que <italic>Ynga Yupangue</italic> avia mandado hazer, y hablaron con todo amor a los que entendian en aquellas hobras. De <italic>Vilcas</italic> fueron por los pueblos de <italic>Guamanga</italic>, <italic>Açangaro</italic>, <italic>Parcos</italic>, <italic>Picoy</italic>, <strong>Acos</strong> y otros, los quales ya avian dado la obedençia al <italic>Ynga</italic> y proveian de bastimentos y de lo que mas tenian en sus pueblos y hazian el camino real que les hera mandado grande y muy ancho.""",143
101006,"Açua",10,"T010007","""Llegados los enbaxadores de los <italic>canas</italic>, fueron bien reçibidos por <italic>Ynga Viracoche</italic> y les respondio que fuesen los prençipales y mas viejos de los canas a <italic>Ayavire</italic>, adonde se verian,y que como oviese estado algunos dias en el tenplo de <italic>Vilcanota</italic> se daria prieça a verse con ellos. Y dio a los mensajeros algunas joyas y ropa de lana fina y mando a su jente de guerra que no fuesen osados de entrar en las casas de los <italic>canas</italic> ni robar nada de lo que tuviesen ni hazelles daño ninguno porque el buen coraçon que tenian no se les turvase y tomasen otro pensamiento. 

Los <italic>canas</italic>, oyda la respuesta, mandaron poner mucho mantenimiento por los caminos y abaxavan de los pueblos a servir al <italic>Ynga</italic>, que con mucha justiçia entendio en que no fuesen agraviados en cosa alguna: y eran proveydos de ganado y de <strong>açua</strong>, ques su vino. Y como ovo llegado al vano tenplo, hizieron sacrifiçios conforne a su jentilidad, matando muchos corderos para el sacrefiçio. De alli caninaron para <italic>Ayavire</italic>, donde los <italic>canas</italic> estavan con mucho proveymiento de bastimento.""",125
101007,"Aji",10,"T010008","""Y para selebrar esta fiesta con mayor deboçion y solenidad se dize que ayunavan dies o doze dias austeniondose de comer demasiado y de no dormir con sus mugeres y bever solamente por la mañana, ques quando ellos comen, <italic>chicha</italic> y despues, en el dia, tan solamente agua; y no comer <strong>aji</strong> ni traer <italic>coca</italic> en la boca y otras çeremonias que entre ellos se guardavan en semejantes ayunos. Lo qual pasado, avian traydo al <italic>Cuzco</italic> mucha suma de corderos y de obejas y de palomas y <italic>cuyz</italic> y otras aves y animales, los quales matavan para hazer el sacrificio"".",90
101008,"Alaya",10,"T010009","""Esto hecho, salio de aquel lugar con su jente el rey y no paro hasta el valle de <italic>Xauxa</italic>, adonde avia alguna controverçia y division sobre los limites y canpos del valle entre los mismos que del hera señor. Como <italic>Guaynacapa</italic> lo entendio, despues de aver hecho sacrifiçios como en <italic>Bilcas</italic>, mando juntar los señores <strong>Alaya</strong> , <italic>Cuçichuca</italic>, <italic>Guacoropora</italic> y entre ellos con yquidad repartio los canpos de la manera que oy /dia lo tienen.""",187
101009,"Alcabicca",10,"T010010","""En que trata como <italic>Ayarmango</italic> se desindio de los altos de <italic>Guanacaure</italic> a vivir a otra quebrada donde despues de cierto tiempo de alli se paso a vivir a la ciudad del <italic>Cuzco</italic> en compañia de <strong>Alcabicca</strong> dejando en el cerro de <italic>Guanacaure</italic> a su compañero <italic>Ayaroche</italic> hecho idolo como por la historia mas largo lo contara""",19
101009,"Alcabicca",10,"T010011","""...miraban el valle del <italic>Cuzco</italic> y el pueblo que tenia poblado <strong>Alcabicca</strong>""",19
101009,"Alcabicca",10,"T010012","""... y parescioles que era buen sitio aquel do estaba poblado aquel pueblo de <strong>Alcabicca</strong>...""",19
101009,"Alcabicca",10,"T010013","""el <strong>Alcabicca</strong> como le viese...las alabardas de oro que en las manos traian y el demas servicio de oro entendio...que eran hijos del sol y dijoles que poblasen donde mejor les pareciese y el <italic>Mango Capac</italic> agradecioselo""",20
101009,"Alcabicca",10,"T010014","""...Mango Capac y su gente...hablaron con <strong>Alcabicca</strong> diciendole que el sol los enviaba a que poblasen con el alli en aquel pueblo del Cuzco...""",20
101009,"Alcabicca",10,"T010015","""...<italic>Mango Capac</italic> y su compañero <italic>Ayarauca</italic> salieron de sus rancherias llevando consigo sus cuatro mujeres...y caminaron para el pueblo del <italic>Cuzco</italic> do estaba <strong>Alcabicca</strong>...""",20
101009,"Alcabicca",10,"T010016","""...holgabanse y regocijabanse Mango Capac y <strong>Alcabicca</strong> en buena amistad y contentamiento.""",20
101010,"Alcaviquiça",10,"T010017","""Hechas las vodas, estava un varrlo çerca de la çibdad donde bivian un linaje de jente a quien llamavan <strong>Alcaviquiça</strong> , y estos no avian querido tener amistad con los del <italic>Cuzco</italic> ninguna. Y estando llenos de sospechas unos de otros, dizen que, yendo a tomar agua una muger del <italic>Cuzco</italic> a çierta fuente que por alli estava, salio un muchacho del otro varrio y le quebro el cantaro y hablo no se que palabras; la qual, dando gritos, bolvio al <italic>Cuzco</italic>. Y como estos yndios son tan alharaquientos, salieron luego con sus armas contra los otros, que tanvien avian tomado las suyas al ruydo que oyan, para ver en lo que parava el negoçio; y llegando el <italic>Ynga</italic> çerca con su jente se pusieron en horden de pelear, aviendo tomado por achaque cosa tan liviana como entre la yndia y [el] muchacho avia pasado, para querer sojuzgar los de aquel linaje o que la memoria dellos se perdiese.

Y esto por los de <strong>Alcaviquiça</strong> bien era entendido; y como honbres de valor salieron a la batalla con gran denuedo, que fue la primera que se dio en aquellos tienpos; y pelearon gran rato asi los unos como los otros...""",100
101010,"Alcaviquiça",10,"T010018","""... porque aviendo sido el caso tan supito no avian podido allegar fabores ni buscar ayudas los de <strong>Alcaviquiça</strong> , los quales aunque mucho / pelearon, fueron vençidos despues de ser muertos todos los mas, que casi no escaparon çinquenta con la vida. Y luego el rey <italic>Mayta Capa</italic>, tomando poseçion en los canpos y eredades de los muertos, usando de vençedor, lo repartio todo por los vezinos del <italic>Cuzco</italic>; y se hizieron grandes fiestas por la vitoria, yendo todos a sacrificar a los oraculos que tenian por sagrados.""",101
101011,"Anaconas",10,"T010019","	""...el despojo que en la guerra hubiesen de ganado ropa e oro e plata e mujeres e otras piezas e anaconas que ansi en la guerra hubiesen e dando la una parte destas gentes a dos capitanes de los suyos que llamaron Malma y Rapa a los cuales mando...que fuesen conquistando por la provincia de Condesuyo...""","24
	"
101011,"Anaconas",10,"T010020","""Y quando no avia guerra, lo mas de todo lo comian y gastavan los proves, porque estando los reyes en el <italic>Cuzco</italic>, ellos tenian sus <strong>anaconas</strong> -que es nonbre de criado perpetuo-, y tantos que bastavan a labrar sus heredades y <italic>chacaras</italic> y senbrar tanto mantenimiento que bastase, sin lo qual para su plato se traya de las comarcas sienpre, muchos corderos y aves, y pescado, y <italic>mayz</italic>, <italic>coca</italic>, rayces con todas las frutas que se cojen. Y tal horden avia en estos tributos que los naturales los pagaban, y los <italic>Yncas</italic> se hallavan tan poderosos / que no tenian guerra ninguna que se recreciese[n].""",52
101011,"Anaconas",10,"T010021","""... Las mugeres que sacrificavan yvan vestidas asimismo ricamente con sus ropas finas de colores y de pluma y sus topos de oro y sus cucharas y escudillas y platos, todo de oro, y <italic>chuspas</italic> de <italic>coca</italic> de avisca: y asi adereçadas, despues de que an bien vevido, les ahogavan y enterravan creyendo, ellas y los que las matavan, que yvan a servir a su diablo o <italic>Guanacaure</italic>. Y hazianse grandes va[i]les y cantares quando se hazian semejantes sacrifiçios questos. Y tenia este ydolo, donde estava el oraculo, sus <italic>chacaras</italic> y <strong>anaconas</strong> y ganados y <italic>mamaconas</italic> y çaçerdotes que se aprovechan de lo mas dello.""",84
