id_palabra,Palabra,id_cronista,id_texto,cita,pagina
14001,[A]pos,14,T14001,"""E yo me acuerdo, estando en el Cuzco el año pasado de mill y quinientos y çinquenta por el mes de agosto, despuEs de aver cojido sus sementeras, entrar los yndios con sus mugeres por la çibdad con gran ruydo, trayendo los arados en las manos y algunas papas y mayz y hazer su fiesta en solamente cantar y dezir quanto en lo pasado solian festejar sus cosechas. Porque no consienten los o las [a]pos y çaçerdotes questas fiestas jentilicas se hagan en publico, como solian, ni en secreto los consinterian, si lo supiesen; pero como aya tantos millares de yndios sin se aver buelto cristianos, de creer es que, en donde no los bean, haran lo que se les antojare.""",93
14002,Abancay,14,T14002,"""Estando las cosas del Cuzco desta manera, los chancas -como atras conte- avian vençido a los quichuas y ocupado la mayor parte de la provinçia de Andavaylas ; y como estuviesen vitoriosos, oyendo lo que se dezia de la grandeza del Cuzco e su riqueza e la magestad de los Yngas , desearon de no estarse encojidos ni dexar de pasar adelante, ganando con las armas todo lo a ellos posible. Y luego hizieron grandes plegarias a sus dioses o demonios y dexando en Andavaylas , ques la que los españoles llaman Andaguaylas , questa encomendada a Diego Maldonado el rico, jente bastante para la defensa della, y con la que estava junta para la guerra, salio Hastu Guaraca y un hermano suyo muy vatiente, llamado Oma Guaraca , y partieron de su provinçia con muy gran sobervia camino del Cuzco , y anduvieron hasta llegar a Curanba , donde asentaron su real y hizieron gran daño en los naturales de la comarca. Mas como en aquellos tienpos muchos de los pueblos estuviesen en los altos y collados de las sierras, con grandes sercas, que llaman ‘pucaraes’ , no se podia hazer muchas muertes ni querian cativos ni mas que robar los canpos. Y salieron de Curanba y fueron al aposento de Cochacaxa y al rio de Abancay destruyendo todo lo que hallavan; y asi se açercaron al Cuzco , adonde ya avia ydo la nueva de los enemigos que venian contra la çibdad...""",130
14003,Açángaro,14,T14003,,143
14003,Açángaro,14,T14004,,155
14004,Achi Oclo,14,T14005,"""La una de sus mugeres fue estéril, que nunca se empreñó; en la otra ovo tres hijos varones y una hija: el mayor fue nonbrado ÇincheRoca Ynga y la hija Achi Oclo ;""",22
14005,Acos,14,T14006,,143
14006,Açua,14,T14007,,125
14007,Aji,14,T14008,"""Y para selebrar esta fiesta con mayor deboçion y solenidad se dize que ayunavan dies o doze dias austeniondose de comer demasiado y de no dormir con sus mugeres y bever solamente por la mañana, ques quando ellos comen, chicha y despues, en el dia, tan solamente agua; y no comer aji ni traer coca en la boca y otras çeremonias que entre ellos se guardavan en semejantes ayunos. Lo qual pasado, avian traydo al Cuzco mucha suma de corderos y de obejas y de palomas y cuyz y otras aves y animales, los quales matavan para hazer el sacrificio"".",90
14008,Alaya,14,T14009,"""Esto hecho, salio de aquel lugar con su jente el rey y no paro hasta el valle de Xauxa, adonde avia alguna controverçia y division sobre los limites y canpos del valle entre los mismos que del hera señor. Como Guaynacapa lo entendio, despues de aver hecho sacrifiçios como en Bilcas, mando juntar los señores Alaya , Cuçichuca, Guacoropora y entre ellos con yquidad repartio los canpos de la manera que oy /dia lo tienen.""",187
14009,Alcabicca,14,T14010,"""En que trata como Ayarmango se desindio de los altos de Guanacaure a vivir a otra quebrada donde despues de cierto tiempo de alli se paso a vivir a la ciudad del Cuzco en compañia de Alcabicca dejando en el cerro de Guanacaure a su compañero Ayaroche hecho idolo como por la historia mas largo lo contara""",19
14009,Alcabicca,14,T14011,"""...miraban el valle del Cuzco y el pueblo que tenia poblado Alcabicca""",19
14009,Alcabicca,14,T14012,"""... y parescioles que era buen sitio aquel do estaba poblado aquel pueblo de Alcabicca...""",19
14009,Alcabicca,14,T14013,"""el Alcabicca como le viese...las alabardas de oro que en las manos traian y el demas servicio de oro entendio...que eran hijos del sol y dijoles que poblasen donde mejor les pareciese y el Mango Capac agradecioselo""",20
14009,Alcabicca,14,T14014,"""...Mango Capac y su gente...hablaron con Alcabicca diciendole que el sol los enviaba a que poblasen con el alli en aquel pueblo del Cuzco...""",20
14009,Alcabicca,14,T14015,"""...Mango Capac y su compañero Ayarauca salieron de sus rancherias llevando consigo sus cuatro mujeres...y caminaron para el pueblo del Cuzco do estaba Alcabicca...""",20
14009,Alcabicca,14,T14016,"""...holgabanse y regocijabanse Mango Capac y Alcabicca en buena amistad y contentamiento.""",20
14010,Alcaviquiça,14,T14017,,100
14010,Alcaviquiça,14,T14018,"""... porque aviendo sido el caso tan supito no avian podido allegar fabores ni buscar ayudas los de Alcaviquiça , los quales aunque mucho / pelearon, fueron vençidos despues de ser muertos todos los mas, que casi no escaparon çinquenta con la vida. Y luego el rey Mayta Capa, tomando poseçion en los canpos y eredades de los muertos, usando de vençedor, lo repartio todo por los vezinos del Cuzco; y se hizieron grandes fiestas por la vitoria, yendo todos a sacrificar a los oraculos que tenian por sagrados.""",101
14011,Anaconas,14,T14019,"	""...el despojo que en la guerra hubiesen de ganado ropa e oro e plata e mujeres e otras piezas e anaconas que ansi en la guerra hubiesen e dando la una parte destas gentes a dos capitanes de los suyos que llamaron Malma y Rapa a los cuales mando...que fuesen conquistando por la provincia de Condesuyo...""",24
14011,Anaconas,14,T14020,"""Y quando no avia guerra, lo mas de todo lo comian y gastavan los proves, porque estando los reyes en el Cuzco, ellos tenian sus anaconas -que es nonbre de criado perpetuo-, y tantos que bastavan a labrar sus heredades y chacaras y senbrar tanto mantenimiento que bastase, sin lo qual para su plato se traya de las comarcas sienpre, muchos corderos y aves, y pescado, y mayz, coca, rayces con todas las frutas que se cojen. Y tal horden avia en estos tributos que los naturales los pagaban, y los Yncas se hallavan tan poderosos / que no tenian guerra ninguna que se recreciese[n].""",52
14011,Anaconas,14,T14021,"""... Las mugeres que sacrificavan yvan vestidas asimismo ricamente con sus ropas finas de colores y de pluma y sus topos de oro y sus cucharas y escudillas y platos, todo de oro, y chuspas de coca de avisca: y asi adereçadas, despues de que an bien vevido, les ahogavan y enterravan creyendo, ellas y los que las matavan, que yvan a servir a su diablo o Guanacaure. Y hazianse grandes va[i]les y cantares quando se hazian semejantes sacrifiçios questos. Y tenia este ydolo, donde estava el oraculo, sus chacaras y anaconas y ganados y mamaconas y çaçerdotes que se aprovechan de lo mas dello.""",84
14011,Anaconas,14,T14022,"""Sin estos tenplos se tuvo otro por tan estimado y frequentado como ellos, y mas, que avia por nonbre la Coropona, ques en la provinçia de Condesuyo, en un çerro muy grande, cubierto a la contina de nieve que ynvierno y verano no se quita jamas. Y los reyes del Peru con los mas prençipales del visitavan / este tenplo haziendo presentes y ofrendas como a los ya dichos. Y tienese por muy çierto que de los dones y capacocha que a este tenplo se le hizo, avia mucha suma de cargas de oro y plata y pedreria enterrado en partes que dello no se save y los yndios escondieron otra suma grande questava para serviçio del ydolo y de los çaçerdotes y mamaconas, que tanbien tenia muchos este tenplo y como avia tan grandes nieves no suven a lo alto ni saben atinar adonde estan tan grandes tesoros. Mucho ganado tenia este tenplo y chacaras y serviçio de yndios y anaconas.""",85
14011,Anaconas,14,T14023,"""El fue caminando hazia Chile con toda su jente, acavando de domar, par donde pasava, las jentes que avia. Paso gran travajo par los despoblados y fue mucha la nieve que sobre ellos cayo; lleva[va]n toldos con que se guareçer y muchos anaconas e mugeres de serviçio. Por todas estas nieves se yva haziendo el camino o a ya estava hecho y bien linpio y postas puestas par todo el.""",183
14011,Anaconas,14,T14024,"""Hizose llamamiento general / en todas las provinçias de su señorio y vinieron de todas partes tanta jente que henchian los canpos. Y despues de aver hecho vanquetes y borracheras generales y puesto en horden las cosas de la çibdad, salio de alli Guaynacapa con ‘yscaypachaguaranga lunas’, que quiere dezir con dozientos mill honbres de guerra, sin los anaconas y mujeres de serviçio, que no tenia quento el numero dello[s]. Llevava consigo dos mill mugeres y dexava en el Cuzco mas de quatro mill.""",186
14012,Anaguar,14,T14025,"""...e vestido una de aquellas ropas, salen del Cuzco ques donde se haze esta fiesta y van a çerro de Guanacaure, donde dezimos questavan los hermanos; y hechas algunas çirimonias y sacrefiçio, se buelven a donde está aparejado en vino, donde lo beven. Y luego sale el Ynga a un çerro nombrado Anaguar ...""",18
14013,Anancuzco/ Hanancuzco,14,T14026,"""....Y rogo, a lo que quentan, a su suegro quisiese con todos sus aliados y confederados pasarse a vevir a su çibdad, adonde le seria guardado su onor y en ella ternia la parte que quisiese. Y el señor o capitan de Çaño haziendolo asi, se le dio y señalo para su bivienda la parte mas oçidental de la çibdad, la qual, por estar en laderas y collados, se llamo Anancuzco; y en lo llano y mas baxo quedo el rey con su casa y vezindad; y como ya todos heran orejones, ques tanto como dezir nobles, casi todos ellos oviesen sido en fundar la nueva çibdad, tuvieronse para sienpre por ylustres las jentes que bivian en los dos lugares de la çibdad llamados <strons>Hanancuzco y Orencuzco"".",97
14014,Anbato,14,T14027,"""Capitulo [LXXIII] ""de como Atabalipa salio del Quito con su jente y capitanes y de como dio vatalla a Atoco en los pueblos de Anbato .""",209
14014,Anbato,14,T14028,"""Y quentan que encomendo la guerra a su capitan general Chalaquchima y a otros dos capitanes, llamados el Quizquiz el unos y el otro Ocumare. Y como Atoco no parase con la jente, pudieron encontrarse çerca del pueblo llamado Anbato , adonde a la usança suya començaron la batalla y la riñeron entre ellos bien. Y aviendo tomado un collado Chalaquchima salio a tienpo convenible con çinco mill honbres holgados y dando en los que estavan cançados, los apretaron tanto que, despues de ser muertos los mas dellos, bolvieron los que no lo eran las espaldas con gran espanto, y el alcançe se siguio y fueron muchos los presos / y Atoco entre ellos; el qual, quentan los que desto me ynformaron, que lo ataron a un palo donde con gran crueldad aviltadamente le mataron y que del casco de su cabeça hizo un bazo Chalaquchima, para vever, engastonado en oro. La opinion mayor y que deve des ser mas çierta, a mi juyzio, de los que murieron en esta vatalla de anbas partes fueron quinze o dies y seys mill yndios y los que se prendieron fueron los mas dellos muertos sin piedad ninguna por mandado de Atabalipa.""",210
