id_palabra,Palabra,id_cronista,id_texto,cita,pagina
16001,Achacama,16,T16001,"""(…) salió el capitán deste pueblo de Achacama, que es donde está la mezquita o templo del diablo, e al medio camino esta otro pueblo grande, donde el dicho capitán comió, que se diçe Armatambio, y el señor dél se llama por su nombre Trianchumbi. El pueblo de Pachacama y el señor principal dél salieron de paz e mostraron buena voluntad a los españoles.""",86 - 87
16002,Acja,16,T16002,"""A este pueblo vinieron a ver al capitan Hernando Piçarro muchos señores de la tierra con presentes de lo que avía en la tierra e con algún oro e plata, admirados de aver tenido osadia de aver entrado a ver el ydolo e averle desbaratado. El señor de Mala, que dixo que se llamaba Lincoto, vino a dar la obediencia a Sus Majestades e truxo presentes de oro e plata. El señor de Noax, que dixo que se llamaba Allaucax, hiço lo mesmo. El señor de Hualco, que dixo que se llamaba Guaralla, assimesmo truxo algún oro e plata. El señor de Chincha, con diez principales suyos, truxeron presentes de oro e plata, e dixo que se llamaba Chumbiauca. El señor de Guarva, que se llamí Guaygehapayche, y el señor de Collipa que se llamó Acja y el señor de Sullicasmarca que se llamó Yspillo, e otros señores principales de las comarcas, truxeron sus presentes de oro e lata, que se juntó con lo que se sacó de la mezquita; y en todo ovo noventa mill pesos oro.""",89 - 90
16003,Agua,16,T16003,"""Otro día, miércoles, partió de las dichas casería, e vino a dormir a un pueblo que se diçe Agua, subjeto del dicho Piscobamba: es un buen pueblo e de muchos mahizales y está entre sierras: el caçique dél e sus indios dieron lo que fue menester e gente de servicio para los españoles.""",101
16004,Allaucax,16,T16004,"""A este pueblo vinieron a ver al capitan Hernando Piçarro muchos señores de la tierra con presentes de lo que avía en la tierra e con algún oro e plata, admirados de aver tenido osadia de aver entrado a ver el ydolo e averle desbaratado. El señor de Mala, que dixo que se llamaba Lincoto, vino a dar la obediencia a Sus Majestades e truxo presentes de oro e plata. El señor de Noax, que dixo que se llamaba Allaucax, hiço lo mesmo. El señor de Hualco, que dixo que se llamaba Guaralla, assimesmo truxo algún oro e plata. El señor de Chincha, con diez principales suyos, truxeron presentes de oro e plata, e dixo que se llamaba Chumbiauca. El señor de Guarva, que se llamí Guaygehapayche, y el señor de Collipa que se llamó Acja y el señor de Sullicasmarca que se llamó Yspillo, e otros señores principales de las comarcas, truxeron sus presentes de oro e lata, que se juntó con lo que se sacó de la mezquita; y en todo ovo noventa mill pesos oro.""",89 - 90
16005,Anchuco,16,T16005,"""Otro día, jueves partió deste pueblo e fue a dormir a otro que se diçe Anchuco, que estaría quatro leguas de camino e muy áspero, el qual pueblo está en una hoya entre sierras: e media legua antes que lleguen a él, va el camino muy ancho e cortado por leña, y hecho de escalones de piedra: muchos malos paos hay e fuertes, que aviendo defensa en ellos, serían inexpunables.""",101
16005,Anchuco,16,T16006,"""Jueves iguiente partió el dicho capitán de aqueste pueblo, e fue a dormir al pueblo de Andamarca, ques de donde se apartó para yr a Pachacama, e a este pueblo se van a juntar los dos caminos reales que van al Cuzco, ques el uno el que llevó a la yda y el otro este que traía, que se van a juntar otra vez, como está dicho al pueblo de Pombo. Del dicho pueblo de Anchuco a este de Andamarca hay treçe leguas de camino muy áspero (...)""",101
16006,Andamarca,16,T16007,"""En aquel pueblo se quiso informar de otros indio si era verdad quel capitán Chillicuchima venía tan lexos como le avían dicho, e tomados algunos principales aparte, e apremiados a que dixesen verdad, dixeron quel capitán Chillicuchima quedaba en el pueblo de Andamarca (...).""",78
16006,Andamarca,16,T16008,"""(…) en el pueblo de Andamarca, que era siete leguas de allí (…)""",78
16006,Andamarca,16,T16009,"""En este pueblo de Andamarca le alcanço la respuesta del Gobernador la que era, que pues tenía noticia que Chillicuchima y el oro venían tan lexos, que ya sabía quel tenía en su poder al obispo de la mezquita o templo de Pachacama (…)",79
16006,Andamarca,16,T16010,"""(…) partió de aquel pueblo de Andamarca; y el mesmo día se passaron algunos passos malos e dos ríos, e fuymos a dormir a un pueblo que se dice Totopamba, y está en una ladera áspera bien poblado.""",79
