id_palabra,Palabra,id_cronista,id_texto,cita,pagina
5001,Abancay,5,T5001,"“Despues aca nos escrebimos cartas, y me hizo inviar ciertos mensaxeros a <italic>Lima</italic>, y en este medio tiempo recebi las cartas de V. M., y vino Diego Rodriguez a hablarme, donde por haber visto una carta que el Presidente invio al Tesorero Melo, a el dirigida, y otra a mi, la cual carta que le escribio el Presidente me invio para que la viese, la cual decia que quedaba un caballero en <italic>Lima</italic>, inviado por la ciudad del <italic>Cuzco</italic>, pretendiendo hacerme guerra, y ansimesmo otra carta del mesmo Tesorero, en que me decia tenia empeñada su palabra por horas, y tenía juntos setecientos andes, que comen carne humana, y mas de dos mil indios, con todas sus armas, para dar sobre <italic>Tambo</italic> y <italic>Limatambo</italic> y <italic>Saquisahuana</italic> y <italic>Curahuasi</italic> y <italic>Cochacaxa</italic> y <strong>Abancay</strong>, y hacer gran estrago[...]” ",302
5002,acollico,5,T5002,"""VII.  Item, porque los indios que vienen a beneficiar la chacara de la tasa para pagar su tributo, vienen de sus tierras a los <italic>Andes</italic>, y se ocupan algunos días en venir y volver, y estos dias no se cuentan en los cuarenta que han de trabaxar para el encomendero, que se les dé en pago de ellos la comida que se mandara dar a los indios alquilados en la Ley XII, y demas de aquello, el <strong>acollico</strong> ordinario que se les suele dar, sin  que por ello se les descuente nada, que es el <strong>acollico</strong> un puño de <italic>coca</italic> cada dia.”",183
5002,acollico,5,T5003,"“Ademas de esto, sean obligados a dar a cada indio, para su mantenimiento los Domingos, e fiestas, e otros dias que por mal tiempo no pudieran trabaxar, la mesma cuantidad de <italic>maiz </italic> que se les manda dar los dias de trabaxo, y el que no les diere esta comida y este jornal de la manera que esta dicho, encurra en pena de ducientos pesos, y que se encargue la conciencia al Juez de los  <italic>Andes </italic> y al Corregidor del  <italic>Cuzco </italic> que lo hagan ansi cumplir, y executen las penas, y los que tienen tasa de  <italic>coca </italic> sean obligados a dar el mismo  <italic>maiz </italic>, so las penas en esta misma ordenanza contenidas, y los unos y los otros les deseen sacar el </strong>acollico</strong> que acostumbran darles, que es un puño de <italic>coca </italic> cada dia, so pena de veinte pesos.”",184
5003,Acora,5,T5004,"“Dentro de esta gran provincia esta la de <italic>Chucuito</italic>, que esta en cabeza de Su Magestad, y es de su real patrimonio. Tiene munchos pueblos por cabeceras de provincias: el prencipal se dice <italic>Chucuito</italic>; los demas se llaman <italic>Juli</italic>, <italic>Ilave</italic>, <italic>Yunguyo</italic>, <strong>Acora</strong>, <italic>Pomata</italic> y <italic>Zepita</italic>. Por este ultimo se desagua la laguna.”",275
5004,Aguapero,5,T5005,"“Serviria esto de munchos efetos: el primero, que echados estos barbaros de la tierra que tiranicamente tomaron a los indios naturales de ella, se volverian estos indios a su primera poblacion, que es mexor y mas sana que en la que al presente estan, y poblarian munchos valles muy buenos y fertiles que estan en comarca de esta ciudad, como son <italic>Tarixa</italic>, <italic>Tomina</italic>, <italic>Condorillo</italic>, <italic>Zaypeparane</italic>, <italic>Yangueparaco</italic>, <strong>Aguapero</strong>, y otros munchos.”",257
5005,Alacapina,5,T5006,"“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
“De alli a <italic>Pasao</italic>, cinco leguas.
  De alli a <strong>Alacapina</strong>, cuatro leguas.
  De alli a <italic>Ungagasta</italic>, tres leguas.”
",282
5006,Amaybamba,5,T5007,"“En llegando a <strong>Amaybamba</strong>, que es lo mas cercano a la tierra del <italic>Inga</italic>, y tres leguas a do el <italic>Inga</italic> me estaba esperando, despache al tesorero Garcia de Melo, que se habia ya otras veces visto con el, y a Diego Lopez de Ayala, clerigo, y a Martin de Landa, que era muy conocido y habia vivido entre indios y le deseaba el <italic>Inga</italic> ver, los cuales llevaron la provision y recados del Gobernador, y llevaron una carta mia, en que decia al <italic>Inga</italic> como venia a complir mi palabra, y traia sanos y buenos la gente que me habia inviado, y que traia en mi compañia veinte españoles, que es la gente con que yo solia caminar, que Su Magestad nos mandaba que no caminasemos con menos gente, y que no venian para le ofender, sino para servirme.”",299
5006,Amaybamba,5,T5008,"“Despues de haber dexado de hacerle guerra, estando quieto con la miseria que pasaba en <italic>Viticos</italic>, se vinieron a retraer siete hombres de los que se hallaron con Gonzalo Pizarro contra el servicio del Rey, y el los trato muy bien, y les hacia mucho regalo, y por codicia de esta miseria que al presente tengo, se amotinaron e hicieron conjuración, y le mataron a traicion, y a mi me dieron una lanzada, y si no me echara de unos riscos abaxo, tambien me mataran; y después tovimos paz por algunos dias, donde los indios de <italic>Tambo</italic> y de <strong>Amaybamba</strong> y de <italic>Guarocondo</italic> llevaron de <italic>Viticos</italic> mucho indios, y por respeto de esto nosotros tovimos guerra con ellos.”",302
5006,Amaybamba,5,T5009,"“Despues, estando nosotros en paz, fuimos avisados como un Tordoya pedia la entrada para hacernos guerra, y por esto fuimos sobre <strong>Amaybamba</strong> y sobre los indios de Barrientos y de Garci Martinez, vecinos de <italic>Huamanga</italic>, y despues se pasaron los indios de Nuño de Mendoza, por su voluntad, a esta parte; y por una carta que el dotor Cuenca me escribio, diciendo nos haria hacer muy cruel guerra, fuimos a dar a <italic>Marcahuasi</italic>[...]”",302
5006,Amaybamba,5,T5010,"“Yo abaxe a la puente como la primera vez, y queriendo baxar el <italic>Inga</italic>, su gobernador le hablo, y el <italic>Inga</italic> le respondio enoxado: “¡Pues que quereis que haga!”, según despues me dixeron el clerigo y el  Landa que alla estaban, que se lo habian oido decir en su lengua; y ansi, por ser ya de noche, se quedo ansi, y me escribio, y yo le respondi desde <strong>Amaybamba</strong> las cartas que invie a Su Magestad y a su Real Consexo de Indias.”",304
