id_palabra,Palabra,id_cronista,id_texto,cita,pagina
120001,Acahuara,12,T12001,"""Y así venían proseguiendo el dicho sacrificio, y en un llano que está junto a Rurucache hacían el mismo sacrificio; y en otro cerro llamado Sunto, junto a Sihuana, en Cacha, en otro cerro llamado Cacha Uiracocha hacían lo mismo; y en otro cerro llamado Yacalla Huaca y en otro llamado Ruraoma, en Quiquijana, en el llano della; y en Mollebanba hacían lo mismo; y en Urcos, en un cerro llamado Urcos Uiracocha, hacían lo mismo; y en Antahuayla en un llano que allí estava, quemavan otro; y junto Antahuayla, en otro llamado Pati hacían lo propio; y en otro llamado Acahuara hacían lo mismo y en Quispicancha, en un cerro que está allí hazían lo mismo...""",69
120002,Achicoc,12,T12002,"""Avía otros llamados achicoc que son los surtiligos que con maíz y estiércol de carneros hechavan suertes; si quedauan pares o nones davan sus respuestas diciendo asimismo lo que querían saber dél el que los llamava.""",63
120003,Acoyapongo,12,T12003,"""Y salían todos quatro esquadrones, cada uno para el lugar que estaba dedicado, saliendo los que estaban para Collasuyo con gran ynpetu hasta la angostura de acoyapongo, que será dos leguas del Cuzco pequeñas e yban dando boces diciendo: Salga el mal fuera.""",74
120004,Aepiran,12,T12004,"""…y al entrar del Sol llevavan otro al cerro llamado Aepiran, porque sobre él se pone el Sol, el qual sacrificavan por la misma horden; y sacrificavan demás desto y ofrecían a las dichas huacas unos cesticos de coca llamados paucarunco y unos que llamavan paucarquinto a manera de coca, y un poco de maíz tostado y conchas de la mar que llaman mullo, colorado y amarillo, hechas a manera de maíz.""",68
120005,Agi,12,T12005,"""Este día, comían sal y las demás comidas, porque quando se armavan cavalleros siempre ayunavan y no comían sal ni agí""",111
120006,Aguaque,12,T12006,"""y vio que venían dos aves que llaman aguaque, por otro nombre llaman torito, y en nuestra lengua las llamamos guacamayos.""",56
120007,Aillos,12,T12007,"""Y a esta ora salía toda la jente del Cuzco por sus aillos y parcialidades, los quales venían lo más ricamente adereçados que podían, y llegados mochavan al Açedor y al Sol y al Ynca señor, y luego se asentavan en sus asientos cada uno conforme a la calidad que tenían, divididos: los Hanancuzcos a su parte y los Hurincuzcos a la suya.""",78
120007,Aillos,12,T12008,"""Venían por sus parcialidades y aillos toda la jente hasta allegar al Cuzco, trayendo los que se avían armado cavalleros, las guaracas en la caveça y los manojos de paja en las manos; y así allegados a la plaza hacían adoración a las guacas ya dichas.""",102
120008,Aji,12,T12009,"""vivirían en prosperidad y gracia y salud y que para bolver a ellos ayunasen algunos días, no comiendo sal ni ají ni durmiendo hombre con muger, ni comiendo maíz de colores""",130
120009,Ajies,12,T12010,"""Y así para este día tenían aparejado todos los géneros y maneras de comidas que ellos usavan, todas las maneras de ajíes, gran cantidad de cestos de coca, todas las maneras de ropas de colores que ellos uestían, y calçados de que usavan, llautos y plumas que se ponían en la caveça""",115
120010,Alauiçitua Taqui,12,T12011,"""Y este día entendían en sólo comer y bever y holgarse y hacían el taqui llamado Alauiçitua Taqui con unas camisitas coloradas hasta los pies y unas diademas en las caveças llamadas pilco casa y tañían con unos canutos de caña, chicos y grandes, haciendo con ellos una música llamada ticatica.""",78
120011,Allonsaytambo,12,T12012,"""y alumbrando los que lo yban siguiendo y llegados a la puente del dicho Allonsaytambo [Ollantaytambo], que es un río grande que baxa la mar del norte, al llegar de los dichos sacrificios hechavan de la puente dos cestos de coca llamados pilco longo, paucarongo y así dejavan yr solos a los dichos sacrificios.""",116
120012,Anaguarque,12,T12013,"""Y luego se ponían por su horden, delante de la dicha guaca de Anaguarque, todos en hilera, parejo los dichos mancevos cavalleros""",105
120012,Anaguarque,12,T12014,"""y así yban caminando hasta llegar al cerro llamado Anaguarque, que será dos leguas del Cuzco, a dar a la guaca que en lo alto del cerro estava, llamada del dicho nombre. Hera guaca de los yndios del pueblo de Choco y Cachona.""",104
120013,Anan Cuzco,12,T12015,"""y como yban entrando por su horden, yban haciendo la mucha al Hacedor y Sol y demás guacas y al Ynca; sentadas las parcialidades de Anan Cuzco y la de Hurin Cuzco, cada una a su parte""",106
120013,Anan Cuzco,12,T12016,"""Concluydo lo qual, se asentavan todos por sus parcialidades, los de Anan Cuzco y Hurin Cuzco tenían ya aparejados unos leones desollados""",108
120013,Anan Cuzco,12,T12017,"""Llamavan estas camisetas puca caycho anco; llamavan a este taqui coyo; ynventólo Pachacuti Ynca Yupanqui, y hacíase con tanbores, dos de Anan Cuzco y dos de Hurin Cuzco.""",108
120013,Anan Cuzco,12,T12018,"""Llamavan al mes de diciembre Camayquilla, en el qual, el primer día de la luna, los que se avían armado cavalleros, así de la parcialidad de Anan Cuzco como de Hurin Cuzco, salían a la plaza con unas hondas en las manos, llamadas huaracas, y los de Anan Cuzco contra los de Hurin Cuzco se tiravan hondaces con una que llaman coco, que se da en unos cordones, y benían algunas vezes a los braços a provar las fuerças, hasta que el Ynga que estava ya en la plaza se levantava y los ponían en paz. Llamauan a esto chocanaco; hacían esto para que fuesen conocidos los de más fuerças y más baliente""",111
120013,Anan Cuzco,12,T12019,"""Sacavan a la plaza para hacer esta fiesta todas las guacas ya dichas y los cuerpos de los yngas señores y señoras difuntos, para veve r  con ellos, poniendo los que avían sido señores de la parcialidad de Anan Cuzco en ella y a los de Hurin Cuzco en la suya, y así trayan de comer y bever a los muertos""",111
120014,Anancuzco,12,T12020,"""Los sacerdotes dellos venían unos con otros y los cuerpos enbalsamados los de Anancuzco con los de Hurincuzco y así consumían y gastavan aquel día en los susodicho.""",79
120014,Anancuzco,12,T12021,"""Y así se yban poniendo por sus lugares que ya dedicados tenían, porque para darles más lugar, los yndios de Anancuzco y Hurincuzco se hacían entrambas parcialidades una, y así dejavan desembaraçada la plaza.""",94
120015,Ancasmarca,12,T12022,"""En la provincia de yndios de Ancasmarca, que es cinco leguas del Cuzco, en la provincia de Antisuyo…""",57
120015,Ancasmarca,12,T12023,"""y acordó con ellos que recoxiesen comida y ganado lo más que pudiesen, y suviéronse en un cerro muy alto llamado Ancasmarca; y dicen como las aguas yban creciendo y cubriendo la tierra, yba ceciendo el cerro de tal manera que jamás le sobrepujaron y que después como se yban recojiendo las aguas, se yba bajando el cerro, y así destos seis hijos de aquel pastor que allí escaparon, se bolvió a poblar la provincia de los Cuyos""",57
120016,Anga Sonco Quila Pionco,12,T12024,"""A los dies y ocho días del dicho mes, salían a la plaza vestidos con unas vestiduras muy galanas llamadas Anga Sonco Quila Pionco, y unas mantas pequeñas, y en las caveças unas plumas llamadas cupaticas, quez son de colas de guacamayas y pilo llamado gualanbabi; que hera hecho de plumas.""",113-114
120017,Angallo,12,T12025,"""hacía traer ante sí todas las doncellas y las hacía dar a cada una dellas un vestido que hera el axo colorado y blanco, llamado angallo y la lliclla de lo mismo""",103
120018,Angalloaxo,12,T12026,"""y el otro día le davan un poco de maíz crudo, diciendo que no se muriese de hambre, y estávase queda en un lugar dentro de su casa; al quarto día se lavava y se ponía una ropa llamada angalloaxo, y unas ojotas de lana blanca""",120
120019,Ansa,12,T12027,"""La jente del Cuzco llevavan los sacrificios ya dichos hasta Sacalpina, que será una legua del Cuzco y ado los recevían los yndios de Ansa.""",122
120020,Antahuayla,12,T12028,"""Y así venían proseguiendo el dicho sacrificio, y en un llano que está junto a Rurucache hacían el mismo sacrificio; y en otro cerro llamado Sunto, junto a Sihuana, en Cacha, en otro cerro llamado Cacha Uiracocha hacían lo mismo; y en otro cerro llamado Yacalla Huaca y en otro llamado Ruraoma, en Quiquijana, en el llano della; y en Mollebanba hacían lo mismo; y en Urcos, en un cerro llamado Urcos Uiracocha, hacían lo mismo; y en Antahuayla en un llano que allí estava, quemavan otro; y junto Antahuayla, en otro llamado Pati hacían lo propio; y en otro llamado Acahuarahacían lo mismo y en Quispicancha, en un cerro que está allí hazían lo mismo...""",69
120021,Antahuaylla,12,T12029,"""Llevavan estas boces las jentes de Hurin Cuzco y allí las entregauan a los metimas de Huaypar ya que ellos las entregavan a los metimas de Antahuaylla, y los mitimas de Antahuaylla las entregauan a los metimas de Huaraypacha, y ellos las llevaban hasta el río de Quiquisana y allí se hañauan ellos y las armas que llevavan.""",74
120022,Antisuyo,12,T12030,"""En la provincia de yndios de Ancasmarca, que es cinco leguas del Cuzco, en la provincia de Antisuyo…""",57
