id_palabra,Palabra,id_cronista,id_texto,cita,pagina
13001,Abancay / Auancay,13,T13001,"“Y yendo assí conquistando, le alcançó en la prouincia de <italic>Xauxa</italic> Gómez de Tordoya, natural de Villanueua de Barcarrota, con otros dozientos hombres de pie y de cauallo que tras el embió; y con todos quinientos hombres Alonso de Aluarado caminó hasta la puente de  <italic>Lumichaca</italic>, donde los cercaron los indios por todas partes, y vuo con ellos batalla, en que los venció y mató muchos dellos. Y de ay adelante siempre fueron peleando con él, hasta la puente de  <strong>Abancay</strong>, donde fue certificado de la prisión de Hernando Piçarro y Gonçalo Piçarro y de todo lo demás que en el  <italic>Cuzco</italic> auía passado, y propuso de no passar adelante hasta tener mandado de lo que auía de hazer.”",115
13001,Abancay / Auancay,13,T13002,"“Y de aquella manera mataron a algunos rendidos, sin que fuessen parte para lo estoruar Hernando Piçarro y los capitanes, aunque lo procurauan con harta diligencia. Porque como los de Alonso de Aluarado estauan afrentados de la rota que auían recebido en la puente de  <strong>Abancay</strong> procurauan de se vengar como podían, tanto que lleuando vno rendido a las ancas de su cauallo al capitán Ruy Díaz, llegó otro y de vn golpe de lança le mató.”",126
13001,Abancay / Auancay,13,T13003,"“Tenía [La Gasca]consigo al Arçobispo de Los Reyes y a Obispos del  <italic>Cuzco</italic> y  <italic>Quito</italic> y al prouincial de Santo Domingo, fray Thomas de Sant Martín, y al prouincial de la Orden de la Merced y a otros muchos religiosos, clérigos y frayles. En la vltima reseña que mandó hazer halló que tenía setecientos arcabuzeros y quinientos piqueros y quatrocientos de cauallo, caso que desde entonces hasta que llegó a  <italic>Xaquixaguana</italic> se recogieron hasta llegar a número de mil y nouecientos hombres, y assí salió el campo de  <italic>Xauxa</italic> y veynte y nueue de deziembre del año de quarenta y siete, caminando en buena orden la vía del  <italic>Cuzco</italic> para tentar por donde auría menos peligro de passar el río de  <strong>Auancay</strong>.”",364
13001,Abancay / Auancay,13,T13004,"“Y assí estuuo el campo hasta que llegaron Valdiuia y Centeno (como esta dicho), en cuya venida se hizieron grandes fiestas y juegos de cañas y corrieron sortija, y de ay adelante Valdiuia començó a entender en los negocios de la guerra juntamente con el Mariscal Alonso de Aluarado y el General Hinojosa, y quando se reconoció la primauera y començaron a cessar las aguas partió el campo de  <italic>Adaguaylas</italic> y fue a sentar en la puente de  <strong>Auancay</strong>, que está veynte leguas del  <italic>Cuzco</italic>, donde estuuo aguardando hasta que en el río de  <italic>Apurima</italic>, que es doze leguas del  <italic>Cuzco</italic>, se hiziessen puentes para poder passar.”",466
13001,Abancay / Auancay,13,T13005,"“Y el Presidente nombró en su lugar otro capitán que fuesse a esta conquista del río de la Plata. Este río nace de las cordilleras neuadas que están en el  <italic> Perú</italic>entre la ciudad de los Reyes y el  <italic>Cuzco</italic>, donde salen quatro ríos, nombrados de las primeras prouincias por donde passan; vno se llama  <italic>Aporima</italic>, otro  <italic>Vilcas</italic> y otro  <strong>Auancay</strong> y otro  <italic>Xauxa</italic>, que sale de vna laguna de la prouincia que se llama  <italic>Bombón</italic>, que es la más llana y más alta tierra del  <italic>Perú</italic>, a cuya causa siempre en ella graniza y nieua.”",379
13002,aciça / açua,13,T13006,"“Beuen vn breuaje en lugar de vino que hazen echando  <italic>maíz</italic>con agua en vnas tinajas que guardan debaxo de tierra, y allí hierue; y demás del  <italic>maíz</italic> crudo le echan en cada tinaja cierta cantidad de  <italic>maíz</italic> mascado, para la qual ay hombres y mugeres que se alquilan y siruen como leuadura. Tiénese por mejor y más rezio lo que se haze con agua embalsada que con la que corre. Este breuaje se llama comúnmente  <italic>chicha</italic>en lenguaje de las Yslas, porque en lengua del  <italic>Perú</italic>se llama <strong>aciça</strong>(sic, azua) es blanco o tinto, como la color del <italic>maíz</italic>[que] le echan, y emborracha más fácilmente que vino de Castilla, aunque los indios si lo pudiessen auer, según son aficionados a ello, dexarían lo de su tierra.”",46
13002,aciça / açua,13,T13007,"“En todas las prouincias del  <italic>Perú</italic> auía señores principales que llamauan en su lengua  <italic>curacas</italic>, que es lo mesmo que en las Islas solían llamar  <italic>caciques</italic>, porque los españoles que fueron a conquistar el <italic>Perú</italic>, como en todas las palabras y cosas generales y más comunes yuan amostrados de los nombres en que las llamauan de las yslas de Santo Domingo y Sant Iuan y  <italic>Cuba</italic>, y Tierra Firme, donde auían biuido, y ellos no sabían los nombres en la lengua del <italic>Perú</italic>, nombráuanlas con los vocablos que de las tales cosas trayan aprendidos; y esto se ha conseruado de tal manera que los mismos indios del <italic>Perú</italic>, quando hablan con los christianos, nombran estas cosas generales por los vocablos que han oydo dellos, como al  <italic>cacique</italic>, que ellos llaman <italic>curaca</italic>, nunca le nombran sino  <italic>cacique</italic>,[...] y al breuaje llaman <italic>chicha</italic>, y en su lengua,  <strong>açua</strong>; y assí de otras muchas cosas.”",55
13003,Adesuyo,13,T13008,"“...la ciudad se divide en quatro estancias, en cada vna de las quales tenía mandado el Rey (que en lengua de los indios se llama <italic>Ynga</italic>) que biuiessen y se aposentassen los indios de azia la parte que les correspondía a aquel quartel, desta manera que el que tira azia el Mediodía se llama  <italic>Collasuyo</italic>, por vna prouincia que está azia aquella parte llamada  <italic>Collao</italic>; y el que está a la parte del Norte, contrario déste, se llama <italic>Chinchasuyo</italic> por causa de vna prouincia muy nombrada que cae en aquel derecho llamada <italic>Chincha</italic>, que agora es de Su Magestad, harto pobre y despoblada según lo que solía; y assí desta manera se nombran los otros dos quarteles de Oriente y Poniente,  <strong>Adesuyo</strong> y  <italic>Condesuyo</italic>, y ningún indio podía biuir en el aposento diferente del que estaua señalado a su tierra sin gran pena.”",48
13004,agüeyes,13,T13009,"“La tierra es muy seca, aunque llueue a menudo, es de pocas aguas dulces que corren, y todos beuen de pozos o de aguas rebalsadas que llaman <strong>agüeyes</strong>”",34
13004,agüeyes,13,T13010,"“Estos llanos son muy secos y de muy grandes arenales porque no llueue jamás en ellos ni se halla fuente ni pozo ni otro ningún manantial, sino quatro o cinco <strong>agüeyes</strong>, que por estar junto a la mar, el agua es muy salobre.”",38
